cod_provin,provincia,canton,tipo,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,X,Y
1,San José,Aserrí,Relleno Sanitario,0.582927447531621,0.583587707709636,0.58698225604463,0.632388406445148,0.591368119254831,0.640008096506526,0.644395542698463,0.648668452883981,0.650819804996241,0.653926795240531,0.656896441238103,-84.064581,9.860322
6,Puntarenas,Quepos,Vertedero semicontrolado,0.45149730694635,0.455620895598014,0.461815103770844,0.466241150775425,0.472684682606759,0.476005864831109,0.477539755290543,0.479271675742195,0.483449169028805,0.484609543661126,0.487846066174634,-84.060361,9.429608
3,Cartago,Alvarado,Relleno Sanitario,0.540328341758081,0.544412471388267,0.547770033073629,0.493658830101026,0.557600124457243,0.497206705191345,0.497277427242333,0.497965498874148,0.500726713854646,0.494779016843048,0.490017679740824,-83.801456,9.910375
2,Alajuela,Alajuela,Relleno Sanitario,0.587034598397789,0.601319166503232,0.603962903738249,0.605376317968015,0.607980397298591,0.609738195711995,0.612310953929656,0.613412065078788,0.614769152275724,0.615948592754103,0.617066740265779,-84.259867,10.013631
5,Guanacaste,Cañas,Vertedero a cielo abierto,0.498958184969704,0.504314771921838,0.507258330887889,0.50327147762925,0.513174681593173,0.513023818440233,0.519178897557574,0.524197526385041,0.527140084570728,0.52738208717448,0.528193878382609,-85.097736,10.419856
5,Guanacaste,Liberia,Relleno Sanitario,0.509815561639631,0.541250537627637,0.547081133338452,0.547063033351965,0.556508662250828,0.557481156997242,0.562341136344491,0.564235308891762,0.564878727045871,0.565240608227456,0.56686727934223,-85.441956,10.645556
3,Cartago,Cartago,Relleno Sanitario,0.586625320147102,0.604956079999604,0.608734437643929,0.607492395846872,0.614996654802031,0.60748253214718,0.607763975388979,0.605548386921736,0.602302533393215,0.597400780959163,0.597365119105891,-83.880647,9.821344
6,Puntarenas,Corredores,Relleno Sanitario,0.478461732411822,0.480085318566419,0.485763874815829,0.483182851730658,0.488511536915665,0.483300393128517,0.481270337963615,0.480339026701973,0.479792681490526,0.478602523592445,0.478572297908855,-83.005378,8.680772
6,Puntarenas,Garabito,Relleno Sanitario,0.448548265074973,0.447767796765509,0.448154301416184,0.450470358256046,0.446515035694827,0.448212845554412,0.454544213309056,0.458119409158784,0.461166678409244,0.463561628171678,0.465979761621778,-84.610172,9.629739
6,Puntarenas,Golfito,Vertedero semicontrolado,0.420084820793725,0.422854500267698,0.429448201960328,0.434753912293929,0.433186097202732,0.437660959743012,0.437430418846624,0.435835444192773,0.436183824617152,0.435053822840403,0.430979913529197,-83.035189,8.672169
5,Guanacaste,Hojancha,Relleno Sanitario,0.38764814024675,0.391467548247616,0.38568856711036,0.395242311084862,0.395959392253815,0.397909384287373,0.401302240220564,0.396003165734043,0.391828592533682,0.387890935621747,0.391691285001858,-85.399453,10.066433
